"Drug Name","NDC #","Total Rxs","Quantity","Total",
"TRELEGY ELLIPTA 200-62.5-25 MCG/ACT INHALATION AER","00173-0893-10","3","180","2007.38"
"CLONAZEPAM 1MG TABLET","00093-3212-01","3","180","18.47"
"SANTYL 250 UNIT/GM EXTERNAL OINTMENT","50484-0010-90","2","180","1915.54"
"XIGDUO XR 5-1000 MG TABLET ER","00310-6260-60","1","180","1683.66"
"REPAGLINIDE 1MG TAB ***","57237-0158-01","1","180","20.47"
"ADVAIR DISKUS 250-50MCG/DOSE AEROSOL 60EA***","00173-0696-00","1","180","535.32"
"PRAVASTATIN 20MG TABLET","00093-7201-10","2","180","21.86"
"POTASSIUM CITRATE 15MEQ TABLET EXTENDED RELEASE","71930-0050-12","2","180","46.35"
"LEVETIRACETAM 1000MG TAB ***","31722-0539-60","2","180","33.80"
"PIOGLITAZONE 45MG TABLET","57237-0221-05","2","180","30.43"
"PRIMIDONE 250 MG ORAL TABLET","53746-0545-01","1","180","53.24"
"FLUOCINONIDE 0.05% EXTERNAL SOLUTION","51672-1273-04","3","180","81.50"
"AMLODIPINE-BENAZEPRIL 10-20MG CAPSULE","68180-0472-01","2","180","28.41"
"LEVOTHYROXINE 50MCG TABLET","68180-0966-03","4","180","44.31"
"GEMFIBROZIL 600MG TAB ***","69097-0821-12","1","180","28.66"
"CLINDAMYCIN PHOSPHATE 1 % EXTERNAL SOLUTION","51672-4081-04","3","180","65.51"
"OXYCODONE 15 MG TABLET ***","47781-0264-05","2","180","25.46"
"PRAVASTATIN 40MG TABLET","00093-7202-10","2","180","17.24"
"ACETAZOLAMIDE 250 MG ORAL TABLET","72578-0150-01","1","180","55.59"
"DORZOLAMIDE - TIMOLOL 2-0.5 % OPTH SOLUTION","42571-0382-73","1","180","202.40"
"DABIGATRAN ETEXILATE MESYLATE 150 MG ORAL CAPSULE","60505-4348-06","1","180","139.93"
"LEVETIRACETAM 750MG TABLET","31722-0538-12","2","180","26.43"
"OLMESARTAN 40MG TABLET","68462-0438-90","2","180","73.73"
"MYCOPHENOLATE MOFETIL 500MG TABLET","64380-0725-07","1","180","93.36"
"RIVASTIGMINE TARTRATE 3 MG ORAL CAPSULE","33342-0090-09","1","180","52.29"
"RANOLAZINE ER 500 MG ORAL TABLET EXTENDED RELEASE 12 HOUR","31722-0668-60","1","180","23.92"
"ATENOLOL 25MG TABLET","65862-0168-99","2","180","4.60"
"CILOSTAZOL 100MG TABLET","60505-2522-01","1","180","19.58"
"IRBESARTAN 300MG TABLET","62332-0043-90","2","180","59.86"
"HYDROCHLOROTHIAZIDE 12.5MG TABLET","69315-0155-01","2","180","15.71"
"VALSARTAN 320MG TABLET","00378-5815-77","2","180","58.97"
"CYCLOSPORINE 0.05 % OPHTHALMIC EMULSION","00378-8760-91","1","180","412.20"
"ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% INHALATION NEBULIZATION SOLUTION","47335-0703-52","2","180","18.12"
"LABETALOL 100MG TAB ***","68382-0798-05","1","180","30.22"
"HYDRALAZINE HCL 50MG TABLET","23155-0003-10","1","180","17.49"
"LABETALOL 300MG TABLET","68382-0800-01","1","180","55.57"
"AVIANE 0.1-20MG TABLET******","00555-9045-58","2","168","55.80"
"LATANOPROST 0.005 % OPHTHALMIC SOLUTION","59762-0333-02","42","167.5","365.19"
"INCRUSE ELLIPTA 62.5MCG/INH AEROSOL*****","00173-0873-10","3","150","1692.60"
